PERMNO,date,TICKER,COMNAM,RET
10107,10/31/13,MSFT,MICROSOFT CORP,0.063852
10107,11/29/13,MSFT,MICROSOFT CORP,0.084875
10107,12/31/13,MSFT,MICROSOFT CORP,-0.018883
10107,1/31/14,MSFT,MICROSOFT CORP,0.011494
10107,2/28/14,MSFT,MICROSOFT CORP,0.01982
10107,3/31/14,MSFT,MICROSOFT CORP,0.069956
10107,4/30/14,MSFT,MICROSOFT CORP,-0.014394
10107,5/30/14,MSFT,MICROSOFT CORP,0.020297
10107,6/30/14,MSFT,MICROSOFT CORP,0.018564
10107,7/31/14,MSFT,MICROSOFT CORP,0.035012
10107,8/29/14,MSFT,MICROSOFT CORP,0.059082
10107,9/30/14,MSFT,MICROSOFT CORP,0.020471
10107,10/31/14,MSFT,MICROSOFT CORP,0.012726
10107,11/28/14,MSFT,MICROSOFT CORP,0.02492
10107,12/31/14,MSFT,MICROSOFT CORP,-0.028446
10107,1/30/15,MSFT,MICROSOFT CORP,-0.130248
10107,2/27/15,MSFT,MICROSOFT CORP,0.093069
10107,3/31/15,MSFT,MICROSOFT CORP,-0.072862
10107,4/30/15,MSFT,MICROSOFT CORP,0.196409
10107,5/29/15,MSFT,MICROSOFT CORP,-0.030222
10107,6/30/15,MSFT,MICROSOFT CORP,-0.057832
10107,7/31/15,MSFT,MICROSOFT CORP,0.057758
10107,8/31/15,MSFT,MICROSOFT CORP,-0.061456
10107,9/30/15,MSFT,MICROSOFT CORP,0.017004
10107,10/30/15,MSFT,MICROSOFT CORP,0.189336
10107,11/30/15,MSFT,MICROSOFT CORP,0.039324
10107,12/31/15,MSFT,MICROSOFT CORP,0.020791
10107,1/29/16,MSFT,MICROSOFT CORP,-0.00703
10107,2/29/16,MSFT,MICROSOFT CORP,-0.069886
10107,3/31/16,MSFT,MICROSOFT CORP,0.085495
10107,4/29/16,MSFT,MICROSOFT CORP,-0.097049
10107,5/31/16,MSFT,MICROSOFT CORP,0.069982
10107,6/30/16,MSFT,MICROSOFT CORP,-0.034528
10107,7/29/16,MSFT,MICROSOFT CORP,0.10768
10107,8/31/16,MSFT,MICROSOFT CORP,0.020113
10107,9/30/16,MSFT,MICROSOFT CORP,0.002436
10107,10/31/16,MSFT,MICROSOFT CORP,0.040278
